[2025-08-22 12:40:19] [INFO] Baza danych zainicjalizowana
[2025-08-22 12:40:19] [INFO] Przywrócono 201 zadań do kolejki
[2025-08-22 12:40:19] [INFO] 🚀 Worker pobierania uruchomiony
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 105, 'item_id': '401572741', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E01.mp4', 'title': 'Dexter Zmartwychwstanie - S01E01.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 106, 'item_id': '401572742', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E02.mp4', 'title': 'Dexter Zmartwychwstanie - S01E02.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 107, 'item_id': '401572743', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E03.mp4', 'title': 'Dexter Zmartwychwstanie - S01E03.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 108, 'item_id': '401572744', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E04.mp4', 'title': 'Dexter Zmartwychwstanie - S01E04.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 109, 'item_id': '401572745', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E05.mp4', 'title': 'Dexter Zmartwychwstanie - S01E05.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 110, 'item_id': '401568116', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E01.mkv', 'title': 'Dexter Zmartwychwstanie - S01E01.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 111, 'item_id': '401568117', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E02.mkv', 'title': 'Dexter Zmartwychwstanie - S01E02.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 112, 'item_id': '401568118', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E03.mkv', 'title': 'Dexter Zmartwychwstanie - S01E03.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 113, 'item_id': '401568119', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E04.mkv', 'title': 'Dexter Zmartwychwstanie - S01E04.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 114, 'item_id': '401568120', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E05.mkv', 'title': 'Dexter Zmartwychwstanie - S01E05.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 115, 'item_id': '401568121', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 01/Dexter Zmartwychwstanie - S01E06.mkv', 'title': 'Dexter Zmartwychwstanie - S01E06.mkv', 'item_type': 'series'}
